#depth	age	UK37	SST
156.89	2630.19	0.945	26.66
156.99	2632.42	0.932	26.26
157.09	2634.65	0.925	26.06
157.18	2637.98	0.928	26.15
157.28	2641.68	0.931	26.23
157.38	2645.38	0.929	26.19
157.49	2649.46	0.949	26.76
157.54	2651.31	0.947	26.69
157.59	2653.16	0.938	26.44
157.69	2656.86	0.962	27.15
157.74	2658.71	0.953	26.89
157.79	2660.56	0.951	26.84
157.84	2662.41	0.957	26.99
157.89	2664.26	0.955	26.95
157.94	2666.11	0.957	26.99
157.99	2667.97	0.950	26.79
158.035	2669.63	0.941	26.53
158.09	2671.67	0.927	26.11
158.14	2673.52	0.925	26.05
158.19	2675.37	0.910	25.63
158.24	2677.22	0.901	25.35
#157.34		0.941	26.54
#157.44		0.942	26.56
#157.645		0.935	26.35
158.29	2679.07	0.897	25.23
158.34	2680.92	0.891	25.06
158.445	2684.81	0.899	25.28
158.54	2688.32	0.907	25.54
158.645	2692.21	0.916	25.80
158.74	2695.73	0.923	25.99
158.84	2699.43	0.941	26.53
158.945	2701.14	0.938	26.44
159.04	2702.76	0.946	26.68
159.14	2704.58	0.935	26.35
159.24	2706.53	0.927	26.11
159.335	2708.37	0.919	25.87
159.44	2710.41	0.909	25.60
159.535	2712.24	0.897	25.25
159.635	2714.15	0.894	25.16
159.73	2715.96	0.910	25.63
159.835	2717.96	0.895	25.17
159.94	2719.95	0.892	25.10
160.04	2721.85	0.908	25.57
160.14	2723.79	0.919	25.89
160.235	2725.69	0.932	26.25
160.34	2727.82	0.947	26.71
160.435	2729.74	0.948	26.74
160.53	2731.66	0.955	26.95
160.635	2733.80	0.961	27.13
160.735	2735.82	0.960	27.10
160.84	2737.98	0.960	27.10
160.935	2739.97	0.967	27.29
161.035	2742.10	0.964	27.20
161.14	2744.34	0.959	27.05
161.235	2746.36	0.952	26.86
161.33	2748.49	0.939	26.46
161.44	2751.11	0.957	27.00
161.54	2753.50	0.958	27.03
161.635	2755.76	0.961	27.11
161.74	2758.27	0.952	26.85
161.84	2760.67	0.931	26.23
161.935	2762.94	0.940	26.50
162.035	2765.32	0.944	26.61
162.135	2767.71	0.935	26.34
162.24	2770.17	0.928	26.14
162.335	2772.33	0.933	26.30
162.44	2774.68	0.937	26.42
162.54	2776.91	0.938	26.45
162.645	2779.25	0.941	26.54
162.74	2781.36	0.947	26.69
162.83	2783.36	0.960	27.08
162.94	2785.67	0.957	27.00
163.04	2787.69	0.944	26.62
163.14	2789.72	0.933	26.30
163.235	2791.71	0.943	26.60
163.335	2793.93	0.945	26.65
163.45	2796.75	0.940	26.51
163.535	2799.26	0.942	26.55
163.635	2802.50	0.942	26.57
163.74	2805.96	0.940	26.50
163.84	2809.52	0.936	26.40
163.945	2813.48	0.945	26.65
164.04	2817.14	0.942	26.57
164.14	2820.58	0.935	26.34
164.24	2823.14	0.951	26.82
164.34	2825.69	0.946	26.69
164.44	2828.25	0.920	25.92
164.54	2830.80	0.946	26.69
164.64	2833.36	0.948	26.74
164.74	2835.92	0.954	26.93
164.84	2838.47	0.946	26.66
164.94	2841.03	0.940	26.50
165.04	2843.58	0.929	26.17
165.14	2846.14	0.910	25.61
165.24	2848.69	0.935	26.36
165.34	2851.25	0.946	26.67
165.44	2853.81	0.949	26.76
165.54	2856.36	0.947	26.71
165.64	2858.92	0.950	26.80
165.74	2861.47	0.952	26.85
165.84	2864.03	0.938	26.43
165.94	2866.59	0.952	26.85
166.04	2869.14	0.949	26.78
166.14	2871.70	0.953	26.88
166.24	2874.25	0.955	26.94
166.34	2876.81	0.946	26.66
166.35	2877.06	0.951	26.82
166.45	2879.62	0.948	26.72
166.55	2882.46	0.949	26.77
166.65	2885.31	0.945	26.66
166.75	2888.15	0.948	26.75
166.85	2891.00	0.948	26.75
166.89	2892.13	0.952	26.85
166.95	2893.84	0.960	27.08
167.05	2896.69	0.951	26.83
167.09	2897.82	0.963	27.18
167.15	2899.53	0.962	27.13
167.19	2900.67	0.947	26.70
167.29	2903.51	0.946	26.67
167.35	2905.22	0.946	26.66
167.39	2906.36	0.937	26.40
167.48	2908.92	0.931	26.23
167.59	2912.04	0.930	26.19
167.69	2914.89	0.930	26.20
167.79	2917.73	0.929	26.19
167.89	2920.58	0.935	26.35
167.99	2923.42	0.929	26.17
168.09	2926.27	0.911	25.63
168.19	2929.11	0.905	25.48
168.29	2932.90	0.921	25.93
168.39	2936.70	0.934	26.33
168.49	2940.49	0.945	26.64
168.59	2944.28	0.955	26.94
168.69	2948.07	0.942	26.55
168.79	2951.87	0.934	26.33
168.89	2955.66	0.943	26.59
168.99	2959.45	0.936	26.39
169.09	2963.24	0.939	26.47
169.19	2967.04	0.924	26.04
169.29	2970.83	0.927	26.12
169.39	2974.62	0.909	25.58
169.49	2978.41	0.892	25.08
169.59	2982.21	0.906	25.51
169.69	2986.00	0.922	25.97
169.79	2990.21	0.899	25.30
169.89	2994.41	0.945	26.64
169.99	2998.62	0.932	26.27
170.09	3002.82	0.918	25.86
170.19	3007.03	0.915	25.77
170.29	3011.23	0.911	25.65
170.39	3015.44	0.929	26.17
170.49	3019.64	0.937	26.42
170.59	3023.85	0.951	26.83
170.69	3028.05	0.932	26.26
170.79	3032.26	0.938	26.45
170.89	3036.47	0.922	25.96
170.99	3040.67	0.917	25.82
171.09	3044.88	0.934	26.32
171.19	3049.08	0.951	26.81
171.29	3053.29	0.953	26.88
171.39	3057.49	0.948	26.75
171.49	3061.70	0.935	26.35
171.59	3065.90	0.929	26.19
171.69	3070.11	0.942	26.56
171.79	3074.32	0.964	27.19
171.89	3078.52	0.967	27.29
171.99	3082.73	0.964	27.21
172.09	3086.93	0.967	27.30
172.19	3091.14	0.971	27.41
172.29	3095.34	0.966	27.28
172.39	3099.55	0.977	27.58
172.49	3103.75	0.975	27.54
172.59	3107.96	0.975	27.53
172.69	3112.16	0.974	27.50
172.79	3116.37	0.963	27.18
172.89	3118.88	0.967	27.31
172.99	3121.39	0.970	27.39
173.09	3123.89	0.967	27.31
173.19	3126.40	0.969	27.35
173.29	3128.91	0.963	27.19
173.39	3131.42	0.964	27.21
173.49	3133.93	0.960	27.07
173.59	3136.44	0.954	26.93
173.69	3138.94	0.954	26.92
173.79	3141.45	0.957	27.01
173.89	3143.96	0.955	26.94
173.99	3146.47	0.958	27.04
174.09	3148.98	0.952	26.84
174.19	3151.48	0.947	26.71
174.29	3153.99	0.962	27.14
174.39	3156.50	0.972	27.44
174.49	3158.63	0.963	27.18
174.59	3161.66	0.952	26.84
174.69	3164.69	0.948	26.75
174.79	3167.72	0.939	26.47
174.89	3170.75	0.949	26.75
174.99	3173.78	0.958	27.02
175.19	3179.85	0.962	27.14
175.29	3182.88	0.958	27.03
175.39	3185.91	0.953	26.87
175.49	3188.94	0.951	26.82
175.59	3191.97	0.955	26.95
175.69	3195.00	0.953	26.88
175.79	3193.24	0.950	26.79
175.89	3195.94	0.948	26.73
175.99	3198.81	0.946	26.68
176.09	3201.95	0.948	26.75
176.15	3203.53	0.955	26.94
176.25	3206.16	0.944	26.61
176.35	3208.79	0.951	26.84
176.45	3211.42	0.950	26.80
176.55	3213.54	0.943	26.58
176.65	3215.65	0.943	26.59
176.85	3219.85	0.942	26.57
176.95	3221.95	0.933	26.28
177.05	3224.02	0.933	26.30
177.15	3226.03	0.936	26.39
177.25	3227.98	0.946	26.68
177.35	3230.15	0.948	26.73
177.45	3232.53	0.951	26.82
177.55	3234.96	0.945	26.65
177.65	3237.61	0.944	26.62
177.85	3243.66	0.947	26.70
177.95	3246.70	0.922	25.96
178.05	3249.74	0.934	26.31
178.25	3254.73	0.942	26.57
178.36	3257.28	0.954	26.91
178.45	3259.13	0.945	26.64
178.57	3261.52	0.940	26.51
178.65	3263.35	0.944	26.61
178.75	3265.70	0.941	26.54
178.86	3268.30	0.942	26.57
178.97	3270.90	0.928	26.15
179.05	3272.79	0.933	26.30
179.16	3275.39	0.937	26.41
179.25	3277.51	0.921	25.95
179.37	3280.35	0.939	26.46
179.48	3282.94	0.932	26.27
179.57	3284.96	0.928	26.15
179.67	3287.13	0.916	25.78
179.77	3289.29	0.916	25.80
179.87	3291.46	0.899	25.30
179.97	3293.59	0.880	24.73
180.1	3296.31	0.875	24.58
180.17	3297.75	0.878	24.67
180.27	3299.81	0.899	25.30
180.37	3301.88	0.913	25.70
180.47	3303.95	0.917	25.82
180.57	3306.44	0.929	26.16
180.67	3309.40	0.916	25.80
180.77	3312.63	0.909	25.59
180.87	3316.10	0.922	25.96
180.98	3319.99	0.925	26.06
