#%		No tun			Min tun Muller/MacDo	Age model deMenocal
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
16.95	12.84	543.8	3.12	0.42	396.74	4.46	0.60	395.11	3.00	0.40
17	12.84	545.4	3.12	0.42	397.86	4.44	0.60	396.77	3.00	0.40
17.05	12.34	547.0	3.12	0.40	398.99	4.44	0.58	398.44	2.99	0.39
17.1	13.35	548.6	3.12	0.44	400.11	3.57	0.50	400.11	3.35	0.47
17.2	12.34	551.8	3.12	0.40	403.19	3.25	0.42	402.92	3.75	0.49
17.25	12.84	553.4	3.12	0.42	404.73	3.25	0.44	404.11	4.20	0.57
17.3	13.35	555.0	3.12	0.44	406.27	3.25	0.46	405.3	4.20	0.59
17.35	14.85	556.6	3.12	0.49	407.81	3.25	0.51	406.49	4.20	0.66
17.4	16.86	558.2	3.12	0.55	409.35	3.25	0.57	407.68	4.20	0.74
17.45	18.87	559.8	3.12	0.62	410.89	3.25	0.64	408.87	4.22	0.84
17.5	23.90	561.4	3.12	0.78	412.43	3.25	0.81	410.05	4.22	1.06
17.55	25.91	563.0	3.12	0.85	413.97	3.25	0.88	411.24	4.20	1.14
17.6	27.92	564.6	3.12	0.91	415.51	3.25	0.95	412.43	4.20	1.23
17.65	30.94	566.2	3.12	1.01	417.05	3.25	1.05	413.62	4.20	1.36
17.7	29.43	567.9	3.12	0.96	418.59	3.25	1.00	414.81	3.62	1.12
17.75	30.94	569.5	3.12	1.01	420.13	3.25	1.05	416.38	3.13	1.02
17.8	29.43	571.1	3.12	0.96	421.67	3.25	1.00	418	3.09	0.95
17.85	27.42	572.7	3.12	0.90	423.21	3.25	0.93	419.62	3.09	0.89
17.9	25.41	574.3	3.12	0.83	424.75	3.25	0.87	421.24	3.09	0.82
17.95	22.39	575.9	3.12	0.73	426.29	3.25	0.76	422.86	3.09	0.73
18	22.39	577.5	3.12	0.73	427.83	3.25	0.76	424.48	3.09	0.73
18.05	22.90	579.1	3.12	0.75	429.37	3.25	0.78	426.1	3.09	0.74
18.1	22.39	580.7	3.12	0.73	430.91	3.25	0.76	427.72	3.09	0.73
18.15	24.40	582.3	3.12	0.80	432.45	3.25	0.83	429.34	3.09	0.79
18.2	27.42	583.9	3.12	0.90	433.99	3.25	0.93	430.96	3.08	0.89
18.25	29.93	585.5	3.12	0.98	435.53	3.25	1.02	432.59	3.08	0.97
18.3	27.42	587.1	3.12	0.90	437.07	3.25	0.93	434.21	3.09	0.89
18.35	27.92	588.7	3.12	0.91	438.61	3.25	0.95	435.83	3.09	0.90
18.4	25.41	590.3	3.12	0.83	440.15	3.25	0.87	437.45	3.09	0.82
18.45	23.40	591.9	3.12	0.77	441.69	3.25	0.80	439.07	3.09	0.76
18.5	22.39	593.5	3.12	0.73	443.23	3.25	0.76	440.69	3.09	0.73
18.55	21.89	595.1	3.12	0.72	444.77	3.25	0.75	442.31	3.09	0.71
18.6	20.88	596.7	3.12	0.68	446.31	3.25	0.71	443.93	3.09	0.68
18.7	20.88	599.9	3.12	0.68	449.39	3.25	0.71	447.17	3.09	0.68
18.75	20.38	601.5	3.12	0.67	450.93	3.25	0.69	448.79	3.09	0.66
18.8	20.88	603.1	3.12	0.68	452.47	3.25	0.71	450.41	3.09	0.68
18.85	19.88	604.7	3.12	0.65	454.01	3.25	0.68	452.03	3.09	0.64
18.9	19.38	606.4	3.12	0.63	455.55	3.25	0.66	453.65	3.09	0.63
18.95	19.88	608.0	3.12	0.65	457.09	3.25	0.68	455.27	3.09	0.64
19	19.88	609.6	3.12	0.65	458.63	3.25	0.68	456.89	3.09	0.64
19.05	22.90	611.2	3.12	0.75	460.17	3.25	0.78	458.51	3.09	0.74
19.1	22.90	612.8	3.12	0.75	461.71	3.25	0.78	460.13	3.09	0.74
19.15	23.90	614.4	3.12	0.78	463.25	3.25	0.81	461.75	3.11	0.78
19.2	24.40	616.0	3.12	0.80	464.79	3.25	0.83	463.35	3.31	0.85
19.25	24.40	617.6	3.12	0.80	466.33	3.25	0.83	464.77	3.51	0.90
19.3	27.42	619.2	3.12	0.90	467.87	3.25	0.93	466.2	3.28	0.94
19.35	27.42	620.8	3.12	0.90	469.41	3.25	0.93	467.82	3.10	0.89
19.4	22.90	622.4	3.12	0.75	470.95	3.25	0.78	469.43	3.10	0.74
19.45	20.38	624.0	3.12	0.67	472.49	3.25	0.69	471.05	3.09	0.66
19.5	19.88	625.6	3.12	0.65	474.03	3.25	0.68	472.67	3.09	0.64
19.55	19.38	627.2	3.12	0.63	475.57	3.25	0.66	474.29	3.09	0.63
19.6	17.37	628.8	3.12	0.57	477.11	3.25	0.59	475.91	3.09	0.56
19.65	20.38	630.4	3.12	0.67	478.65	3.25	0.69	477.53	3.09	0.66
19.7	23.90	632.0	3.12	0.78	480.19	3.25	0.81	479.15	3.09	0.77
19.75	23.90	633.6	3.12	0.78	481.73	3.25	0.81	480.77	3.09	0.77
19.8	24.91	635.2	3.12	0.82	483.27	3.25	0.85	482.39	3.09	0.81
19.85	21.89	636.8	3.12	0.72	484.81	3.25	0.75	484.01	3.09	0.71
19.9	20.88	638.4	3.12	0.68	486.35	3.25	0.71	485.63	3.09	0.68
19.95	20.38	640.0	3.12	0.67	487.89	3.25	0.69	487.25	3.09	0.66
20	19.88	641.6	3.12	0.65	489.43	3.25	0.68	488.87	3.09	0.64
20.05	19.38	643.2	3.12	0.63	490.97	3.25	0.66	490.49	3.09	0.63
20.1	21.39	644.9	3.12	0.70	492.51	3.25	0.73	492.11	3.09	0.69
20.2	22.39	648.1	3.12	0.73	495.59	3.25	0.76	495.35	3.09	0.73
20.25	20.38	649.7	3.12	0.67	497.13	3.25	0.69	496.97	3.09	0.66
20.3	19.38	651.3	3.12	0.63	498.67	3.25	0.66	498.59	3.09	0.63
20.35	22.39	652.9	3.12	0.73	500.21	2.80	0.66	500.21	3.09	0.73
20.4	26.41	654.5	3.12	0.86	502.24	2.46	0.68	501.83	3.09	0.86
20.45	27.92	656.1	3.12	0.91	504.28	2.46	0.72	503.45	2.99	0.88
20.5	27.92	657.7	3.12	0.91	506.31	2.46	0.72	505.18	2.79	0.82
20.55	26.92	659.3	3.12	0.88	508.34	2.46	0.69	507.04	2.70	0.76
20.6	23.40	660.9	3.12	0.77	510.38	2.46	0.60	508.89	2.70	0.66
20.65	23.40	662.5	3.12	0.77	512.41	2.46	0.61	510.75	2.70	0.66
20.7	23.40	664.1	3.12	0.77	514.44	2.46	0.60	512.6	2.70	0.66
20.75	21.89	665.7	3.12	0.72	516.48	2.46	0.56	514.46	2.70	0.62
20.8	23.40	667.3	3.12	0.77	518.51	2.46	0.61	516.31	2.70	0.66
20.85	22.39	668.9	3.12	0.73	520.54	2.46	0.58	518.16	2.70	0.63
20.9	20.38	670.5	3.12	0.67	522.58	2.46	0.53	520.02	2.70	0.58
20.95	19.88	672.1	3.12	0.65	524.61	2.46	0.51	521.87	2.70	0.56
21	20.88	673.7	3.12	0.68	526.64	2.46	0.54	523.73	2.70	0.59
21.05	22.90	675.3	3.12	0.75	528.68	2.46	0.59	525.58	2.70	0.65
21.1	21.39	676.9	3.12	0.70	530.71	2.46	0.55	527.44	2.70	0.61
21.15	19.88	678.5	3.12	0.65	532.74	2.46	0.51	529.29	2.70	0.56
21.2	19.88	680.1	3.12	0.65	534.78	2.46	0.51	531.15	2.70	0.56
21.25	20.88	681.7	3.12	0.68	536.81	2.46	0.54	533	2.70	0.59
21.3	20.88	683.3	3.12	0.68	538.84	2.46	0.54	534.86	2.70	0.59
21.35	23.90	685.0	3.12	0.78	540.88	2.46	0.62	536.71	2.70	0.68
21.4	26.41	686.6	3.12	0.86	542.91	2.46	0.68	538.56	2.70	0.75
21.45	26.92	688.2	3.12	0.88	544.94	2.46	0.69	540.42	2.70	0.76
21.5	25.91	689.8	3.12	0.85	546.98	2.46	0.67	542.27	2.70	0.73
21.55	27.42	691.4	3.12	0.90	549.01	2.46	0.71	544.13	2.70	0.78
21.6	24.91	693.0	3.12	0.82	551.04	2.46	0.64	545.98	2.70	0.71
21.7	23.90	696.2	3.12	0.78	555.11	2.46	0.62	549.69	2.69	0.68
21.75	26.41	697.8	3.12	0.86	557.14	2.46	0.68	551.55	2.70	0.75
21.8	26.41	699.4	3.12	0.86	559.17	2.46	0.68	553.4	2.70	0.75
21.85	26.41	701.0	3.12	0.86	561.21	2.46	0.68	555.26	2.70	0.75
21.9	26.92	702.6	3.12	0.88	563.24	2.46	0.70	557.11	2.70	0.76
21.95	26.41	704.2	3.12	0.86	565.27	2.46	0.68	558.97	2.70	0.75
22	26.92	705.8	3.12	0.88	567.31	2.46	0.69	560.82	2.70	0.76
22.05	26.92	707.4	3.12	0.88	569.34	2.46	0.70	562.67	2.70	0.76
22.1	21.89	709.0	3.12	0.72	571.37	2.46	0.56	564.53	2.70	0.62
22.15	18.37	710.6	3.12	0.60	573.41	2.46	0.47	566.38	2.70	0.52
22.2	17.37	712.2	3.12	0.57	575.44	2.46	0.45	568.24	2.51	0.46
22.25	16.36	713.8	3.12	0.54	577.47	2.46	0.42	570.36	2.08	0.36
22.3	16.86	715.4	3.12	0.55	579.51	2.46	0.43	573.04	1.87	0.33
22.35	24.91	717.0	3.12	0.82	581.54	2.46	0.64	575.72	1.87	0.49
22.4	26.41	718.6	3.12	0.86	583.57	2.46	0.68	578.4	1.86	0.52
22.45	26.41	720.2	3.12	0.86	585.61	2.46	0.68	581.09	1.87	0.52
22.5	23.40	721.8	3.12	0.77	587.64	2.46	0.61	583.76	1.87	0.46
22.55	25.91	723.5	3.12	0.85	589.67	2.46	0.67	586.44	1.86	0.51
22.6	27.42	725.1	3.12	0.90	591.71	2.46	0.71	589.13	1.87	0.54
22.65	24.91	726.7	3.12	0.82	593.74	2.46	0.64	591.8	1.87	0.49
22.7	23.40	728.3	3.12	0.77	595.77	2.46	0.60	594.48	1.86	0.46
22.75	23.40	729.9	3.12	0.77	597.81	2.46	0.60	597.17	1.87	0.46
22.8	23.40	731.5	3.12	0.77	599.84	3.07	0.75	599.84	1.87	0.46
22.85	23.90	733.1	3.12	0.78	601.07	4.07	1.02	602.53	1.86	0.47
22.9	20.38	734.7	3.12	0.67	602.30	4.08	0.87	605.21	1.87	0.40
22.95	20.38	736.3	3.12	0.67	603.52	4.08	0.87	607.88	1.87	0.40
23	20.38	737.9	3.12	0.67	604.75	4.07	0.87	610.57	1.86	0.40
23.05	19.38	739.5	3.12	0.63	605.98	4.07	0.83	613.25	1.87	0.38
23.1	24.91	741.1	3.12	0.82	607.21	4.08	1.07	615.92	1.87	0.49
23.2	20.88	744.3	3.12	0.68	609.66	4.08	0.89	621.29	1.86	0.41
23.25	21.89	745.9	3.12	0.72	610.89	4.07	0.93	623.97	1.87	0.43
23.3	30.94	747.5	3.12	1.01	612.12	4.08	1.33	626.65	2.06	0.67
23.35	31.94	749.1	3.12	1.05	613.34	4.08	1.37	628.83	3.47	1.16
23.4	30.44	750.7	3.12	1.00	614.57	4.07	1.30	629.53	7.09	2.27
23.45	30.44	752.3	3.12	1.00	615.80	4.07	1.30	630.24	7.09	2.27
23.5	29.43	753.9	3.12	0.96	617.03	4.08	1.26	630.94	7.09	2.19
23.55	29.43	755.5	3.12	0.96	618.25	4.08	1.26	631.65	7.09	2.19
23.6	27.92	757.1	3.12	0.91	619.48	4.07	1.19	632.35	7.09	2.08
23.65	27.92	758.7	3.12	0.91	620.71	4.07	1.19	633.06	7.09	2.08
23.7	27.42	760.3	3.12	0.90	621.94	4.07	1.17	633.76	7.09	2.04
23.75	27.42	762.0	3.12	0.90	623.17	4.08	1.18	634.47	7.04	2.03
23.8	28.93	763.6	3.12	0.95	624.39	4.08	1.24	635.18	7.09	2.15
23.85	26.41	765.2	3.12	0.86	625.62	4.07	1.13	635.88	7.09	1.97
23.9	24.40	766.8	3.12	0.80	626.85	4.07	1.04	636.59	7.09	1.82
23.95	24.40	768.4	3.12	0.80	628.08	4.08	1.05	637.29	7.09	1.82
24	24.40	770.0	3.12	0.80	629.30	4.08	1.05	638	7.09	1.82
24.05	26.41	771.6	3.12	0.86	630.53	4.07	1.13	638.7	7.09	1.97
24.1	25.91	773.2	3.12	0.85	631.76	4.07	1.11	639.41	7.09	1.93
24.15	24.40	774.8	3.12	0.80	632.99	4.08	1.05	640.11	7.09	1.82
24.2	23.90	776.4	3.12	0.78	634.21	4.08	1.02	640.82	7.08	1.78
24.3	21.89	779.6	3.12	0.72	636.67	4.07	0.93	642.23	7.11	1.63
