#%		No tune			Min tun Muller/MacDo	Age model Larrasoana
#%m	gterr	age	sr	flux	age	sr	flux 	age	sr	flux
0.5900	0.0983	19.9698	2.9545	0.2904	11.1529	4.3482	0.4275	3.9664	4.7738	0.4693
0.6000	0.0989	20.3083	2.9545	0.2923	11.3420	4.3480	0.4301	4.0336	4.7736	0.4722
0.6100	0.1007	20.6467	2.9545	0.2976	11.5310	4.3479	0.4379	4.1008	4.7734	0.4808
0.6200	0.1018	20.9852	2.9545	0.3008	11.7200	4.3478	0.4426	4.1681	4.7733	0.4860
0.6300	0.1018	21.3237	2.9545	0.3009	11.9091	4.3476	0.4427	4.2353	4.7731	0.4861
0.6400	0.1008	21.6621	2.9545	0.2978	12.0981	4.3475	0.4383	4.3025	4.7729	0.4811
0.6500	0.0986	22.0006	2.9545	0.2912	12.2871	4.3474	0.4285	4.3697	4.7727	0.4704
0.6600	0.0949	22.3391	2.9545	0.2805	12.4762	4.3472	0.4127	4.4370	4.7726	0.4531
0.6700	0.0902	22.6776	2.9545	0.2664	12.6652	4.3471	0.3920	4.5042	4.7724	0.4303
0.6800	0.0846	23.0160	2.9545	0.2498	12.8542	4.3470	0.3676	4.5714	4.7722	0.4035
0.6900	0.0797	23.3545	2.9545	0.2354	13.0432	4.3468	0.3464	4.6387	4.7720	0.3803
0.7000	0.0767	23.6930	2.9545	0.2267	13.2323	4.3467	0.3335	4.7059	4.7719	0.3661
0.7100	0.0754	24.0314	2.9545	0.2227	13.4213	4.3466	0.3277	4.7731	4.7717	0.3597
0.7200	0.0747	24.3699	2.9545	0.2206	13.6103	4.3464	0.3245	4.8403	4.7715	0.3563
0.7300	0.0741	24.7084	2.9545	0.2190	13.7994	4.3463	0.3222	4.9076	4.7713	0.3537
0.7400	0.0735	25.0469	2.9545	0.2173	13.9884	4.3462	0.3196	4.9748	4.7712	0.3509
0.7493	0.0729	25.3611	2.9545	0.2154	14.1585	4.3460	0.3169	5.0372	4.7710	0.3479
0.7586	0.0727	25.6754	2.9545	0.2148	14.3476	4.3459	0.3159	5.0996	4.7709	0.3468
0.7679	0.0734	25.9897	2.9545	0.2168	14.5177	4.3458	0.3189	5.1621	4.7707	0.3501
0.7771	0.0750	26.3040	2.9545	0.2216	14.6878	4.3457	0.3259	5.2245	4.7705	0.3578
0.7864	0.0771	26.6183	2.9545	0.2279	14.8580	4.3455	0.3352	5.2869	4.7704	0.3680
0.7957	0.0793	26.9326	2.9545	0.2343	15.0470	4.3454	0.3446	5.3493	4.7702	0.3783
0.8050	0.0812	27.2469	2.9545	0.2398	15.2171	4.3453	0.3527	5.4118	4.7700	0.3872
0.8143	0.0826	27.5612	2.9545	0.2440	15.3873	4.3452	0.3589	5.4742	4.7699	0.3940
0.8236	0.0838	27.8755	2.9545	0.2477	15.5763	4.3450	0.3643	5.5366	4.7697	0.3999
0.8329	0.0853	28.1898	2.9545	0.2521	15.7464	4.3449	0.3708	5.5990	4.7696	0.4070
